period,year,month,flow,trade_value_usd,country,iso3
202505,2025,5,export,37902.34,Azerbaijan,AZE
202505,2025,5,export,1163663.86,Argentina,ARG
202505,2025,5,export,39197536.451,Australia,AUS
202505,2025,5,export,1504540.68,Armenia,ARM
202505,2025,5,export,34640.0,Barbados,BRB
202505,2025,5,export,115089428.249,Belgium,BEL
202505,2025,5,export,1038.119,Bhutan,BTN
202505,2025,5,export,389836.836,Bosnia Herzegovina,BIH
202505,2025,5,export,11237578.0,Brazil,BRA
202505,2025,5,export,5582.85,Belize,BLZ
202505,2025,5,export,16105492.847,Bulgaria,BGR
202505,2025,5,export,119119478.294,Canada,CAN
202505,2025,5,export,266070.838,Chile,CHL
202505,2025,5,export,27016416.47,Colombia,COL
202505,2025,5,export,22257337.0,Croatia,HRV
202505,2025,5,export,1722075.539,Cyprus,CYP
202505,2025,5,export,112785989.0,Czechia,CZE
202505,2025,5,export,55721978.01,Denmark,DNK
202505,2025,5,export,409519.38,El Salvador,SLV
202505,2025,5,export,20022352.63,Estonia,EST
202505,2025,5,export,448272.072,Fiji,FJI
202505,2025,5,export,6292350.947,Finland,FIN
202505,2025,5,export,1003819970.02,France,FRA
202505,2025,5,export,1552571.782,Georgia,GEO
202505,2025,5,export,417461050.657,Germany,DEU
202505,2025,5,export,374801.029,Ghana,GHA
202505,2025,5,export,26476914.087,Greece,GRC
202505,2025,5,export,2989005.0,Guatemala,GTM
202505,2025,5,export,493.875,Guyana,GUY
202505,2025,5,export,287483078.331,"China, Hong Kong SAR",HKG
202505,2025,5,export,23486551.578,Hungary,HUN
202505,2025,5,export,609969.326,Iceland,ISL
202505,2025,5,export,12244304.031,Indonesia,IDN
202505,2025,5,export,27990342.362,Ireland,IRL
202505,2025,5,export,18796000.0,Israel,ISR
202505,2025,5,export,269226563.625,Italy,ITA
202505,2025,5,export,250554867.64,Japan,JPN
202505,2025,5,export,795998089.0,Rep. of Korea,KOR
202505,2025,5,export,212992.0,Kyrgyzstan,KGZ
202505,2025,5,export,11393415.26,Latvia,LVA
202505,2025,5,export,9669437.0,Lithuania,LTU
202505,2025,5,export,10088560.649,Luxembourg,LUX
202505,2025,5,export,126286.482,"China, Macao SAR",MAC
202505,2025,5,export,17495224.891,Malaysia,MYS
202505,2025,5,export,546821.777,Malta,MLT
202505,2025,5,export,249160.395,Mauritius,MUS
202505,2025,5,export,38061835.0,Mexico,MEX
202505,2025,5,export,521676.0,Rep. of Moldova,MDA
202505,2025,5,export,19489.391,Montenegro,MNE
202505,2025,5,export,2401393.875,Morocco,MAR
202505,2025,5,export,888600.779,Oman,OMN
202505,2025,5,export,169131924.283,Netherlands,NLD
202505,2025,5,export,5467130.48,New Zealand,NZL
202505,2025,5,export,4334183.138,Norway,NOR
202505,2025,5,export,2385945.089,Pakistan,PAK
202505,2025,5,export,1342.0,Panama,PAN
202505,2025,5,export,19607.76,Paraguay,PRY
202505,2025,5,export,3781080.0,Philippines,PHL
202505,2025,5,export,267390438.0,Poland,POL
202505,2025,5,export,11832916.264,Portugal,PRT
202505,2025,5,export,8456822.76,Romania,ROU
202505,2025,5,export,1583817.027,Saudi Arabia,SAU
202505,2025,5,export,3761844.0,Serbia,SRB
202505,2025,5,export,23951277.121,India,IND
202505,2025,5,export,393432409.383,Singapore,SGP
202505,2025,5,export,8351508.156,Slovakia,SVK
202505,2025,5,export,9695924.922,Slovenia,SVN
202505,2025,5,export,31995319.212,South Africa,ZAF
202505,2025,5,export,198779725.253,Spain,ESP
202505,2025,5,export,67.0,South Sudan,SSD
202505,2025,5,export,52231820.448,Sweden,SWE
202505,2025,5,export,122907943.162,Switzerland,CHE
202505,2025,5,export,5617158.455,Togo,TGO
202505,2025,5,export,118452.052,Trinidad and Tobago,TTO
202505,2025,5,export,34622172.0,Türkiye,TUR
202505,2025,5,export,2672036.3,Ukraine,UKR
202505,2025,5,export,550261.993,North Macedonia,MKD
202505,2025,5,export,3105550.299,Egypt,EGY
202505,2025,5,export,195644187.47,United Kingdom,GBR
202505,2025,5,export,437131683.0,USA,USA
202505,2025,5,export,55213.0,Uzbekistan,UZB
202506,2025,6,export,34412.68,Azerbaijan,AZE
202506,2025,6,export,1158491.7,Argentina,ARG
202506,2025,6,export,31173175.512,Australia,AUS
202506,2025,6,export,374224.72,Armenia,ARM
202506,2025,6,export,52142.0,Barbados,BRB
202506,2025,6,export,127591425.115,Belgium,BEL
202506,2025,6,export,5.82,Bhutan,BTN
202506,2025,6,export,562897.471,Bosnia Herzegovina,BIH
202506,2025,6,export,9970087.0,Brazil,BRA
202506,2025,6,export,7029.905,Belize,BLZ
202506,2025,6,export,16152178.882,Bulgaria,BGR
202506,2025,6,export,128142705.71,Canada,CAN
202506,2025,6,export,462108.885,Chile,CHL
202506,2025,6,export,22227136.19,Colombia,COL
202506,2025,6,export,24293011.0,Croatia,HRV
202506,2025,6,export,1338450.803,Cyprus,CYP
202506,2025,6,export,108885585.0,Czechia,CZE
202506,2025,6,export,48449301.742,Denmark,DNK
202506,2025,6,export,194414.15,El Salvador,SLV
202506,2025,6,export,16671638.86,Estonia,EST
202506,2025,6,export,35623.405,Fiji,FJI
202506,2025,6,export,5554555.748,Finland,FIN
202506,2025,6,export,1051378012.085,France,FRA
202506,2025,6,export,1369355.123,Georgia,GEO
202506,2025,6,export,416710586.89,Germany,DEU
202506,2025,6,export,22027.063,Ghana,GHA
202506,2025,6,export,25935499.541,Greece,GRC
202506,2025,6,export,3908439.0,Guatemala,GTM
202506,2025,6,export,933.045,Guyana,GUY
202506,2025,6,export,246452873.832,"China, Hong Kong SAR",HKG
202506,2025,6,export,21865108.628,Hungary,HUN
202506,2025,6,export,570985.464,Iceland,ISL
202506,2025,6,export,14351070.876,Indonesia,IDN
202506,2025,6,export,20173068.671,Ireland,IRL
202506,2025,6,export,12937000.0,Israel,ISR
202506,2025,6,export,262222934.494,Italy,ITA
202506,2025,6,export,267684428.655,Japan,JPN
202506,2025,6,export,772856860.0,Rep. of Korea,KOR
202506,2025,6,export,739060.0,Kyrgyzstan,KGZ
202506,2025,6,export,8069607.663,Latvia,LVA
202506,2025,6,export,7649750.0,Lithuania,LTU
202506,2025,6,export,6902624.85,Luxembourg,LUX
202506,2025,6,export,150847.519,"China, Macao SAR",MAC
202506,2025,6,export,15288563.389,Malaysia,MYS
202506,2025,6,export,467749.651,Malta,MLT
202506,2025,6,export,82141.168,Mauritius,MUS
202506,2025,6,export,40216407.0,Mexico,MEX
202506,2025,6,export,502890.0,Rep. of Moldova,MDA
202506,2025,6,export,17009.586,Montenegro,MNE
202506,2025,6,export,3009047.303,Morocco,MAR
202506,2025,6,export,186124212.052,Netherlands,NLD
202506,2025,6,export,6904287.905,New Zealand,NZL
202506,2025,6,export,2668366.968,Norway,NOR
202506,2025,6,export,2324880.888,Pakistan,PAK
202506,2025,6,export,199698.0,Panama,PAN
202506,2025,6,export,17121.9,Paraguay,PRY
202506,2025,6,export,4414664.0,Philippines,PHL
202506,2025,6,export,265919700.0,Poland,POL
202506,2025,6,export,8431946.168,Portugal,PRT
202506,2025,6,export,8322229.47,Romania,ROU
202506,2025,6,export,1419008.765,Saudi Arabia,SAU
202506,2025,6,export,4754044.0,Serbia,SRB
202506,2025,6,export,22479076.551,India,IND
202506,2025,6,export,383656499.674,Singapore,SGP
202506,2025,6,export,10178906.187,Slovakia,SVK
202506,2025,6,export,9251411.706,Slovenia,SVN
202506,2025,6,export,34167384.688,South Africa,ZAF
202506,2025,6,export,195045150.163,Spain,ESP
202506,2025,6,export,53255228.926,Sweden,SWE
202506,2025,6,export,78957829.869,Switzerland,CHE
202506,2025,6,export,5983759.145,Togo,TGO
202506,2025,6,export,36232.651,Trinidad and Tobago,TTO
202506,2025,6,export,25909923.0,Türkiye,TUR
202506,2025,6,export,2029684.1,Ukraine,UKR
202506,2025,6,export,547465.301,North Macedonia,MKD
202506,2025,6,export,2435704.115,Egypt,EGY
202506,2025,6,export,194171404.322,United Kingdom,GBR
202506,2025,6,export,476364103.0,USA,USA
202506,2025,6,export,82659.0,Uzbekistan,UZB
202507,2025,7,export,6944.78,Azerbaijan,AZE
202507,2025,7,export,1356864.88,Argentina,ARG
202507,2025,7,export,36248490.634,Australia,AUS
202507,2025,7,export,841093.64,Armenia,ARM
202507,2025,7,export,24863.5,Barbados,BRB
202507,2025,7,export,139457844.552,Belgium,BEL
202507,2025,7,export,567217.026,Bosnia Herzegovina,BIH
202507,2025,7,export,11527748.0,Brazil,BRA
202507,2025,7,export,15753008.051,Bulgaria,BGR
202507,2025,7,export,125188753.955,Canada,CAN
202507,2025,7,export,433212.232,Chile,CHL
202507,2025,7,export,31686190.06,Colombia,COL
202507,2025,7,export,18951916.0,Croatia,HRV
202507,2025,7,export,1683796.408,Cyprus,CYP
202507,2025,7,export,98695052.0,Czechia,CZE
202507,2025,7,export,53094444.069,Denmark,DNK
202507,2025,7,export,294615.12,El Salvador,SLV
202507,2025,7,export,19920029.08,Estonia,EST
202507,2025,7,export,378265.249,Fiji,FJI
202507,2025,7,export,6323733.62,Finland,FIN
202507,2025,7,export,1091678127.694,France,FRA
202507,2025,7,export,1091572.467,Georgia,GEO
202507,2025,7,export,449910821.076,Germany,DEU
202507,2025,7,export,181484.151,Ghana,GHA
202507,2025,7,export,29233753.915,Greece,GRC
202507,2025,7,export,3408432.0,Guatemala,GTM
202507,2025,7,export,827.577,Guyana,GUY
202507,2025,7,export,231824899.463,"China, Hong Kong SAR",HKG
202507,2025,7,export,21378187.303,Hungary,HUN
202507,2025,7,export,661549.211,Iceland,ISL
202507,2025,7,export,15861187.779,Indonesia,IDN
202507,2025,7,export,20950166.344,Ireland,IRL
202507,2025,7,export,26747000.0,Israel,ISR
202507,2025,7,export,311496489.122,Italy,ITA
202507,2025,7,export,292275334.714,Japan,JPN
202507,2025,7,export,805396805.0,Rep. of Korea,KOR
202507,2025,7,export,530199.0,Kyrgyzstan,KGZ
202507,2025,7,export,9447999.159,Latvia,LVA
202507,2025,7,export,11003026.0,Lithuania,LTU
202507,2025,7,export,12016085.922,Luxembourg,LUX
202507,2025,7,export,68158.974,"China, Macao SAR",MAC
202507,2025,7,export,17006025.848,Malaysia,MYS
202507,2025,7,export,485957.446,Malta,MLT
202507,2025,7,export,801242.11,Mauritius,MUS
202507,2025,7,export,45374647.0,Mexico,MEX
202507,2025,7,export,383157.0,Rep. of Moldova,MDA
202507,2025,7,export,5341.642,Montenegro,MNE
202507,2025,7,export,2723359.44,Morocco,MAR
202507,2025,7,export,165108892.446,Netherlands,NLD
202507,2025,7,export,4901219.231,New Zealand,NZL
202507,2025,7,export,40586.235,Nigeria,NGA
202507,2025,7,export,3354796.395,Norway,NOR
202507,2025,7,export,3866903.581,Pakistan,PAK
202507,2025,7,export,165435.0,Panama,PAN
202507,2025,7,export,101521.69,Paraguay,PRY
202507,2025,7,export,3394138.0,Philippines,PHL
202507,2025,7,export,292537618.0,Poland,POL
202507,2025,7,export,8644200.829,Portugal,PRT
202507,2025,7,export,7232928.8,Romania,ROU
202507,2025,7,export,1497480.496,Saudi Arabia,SAU
202507,2025,7,export,4227292.0,Serbia,SRB
202507,2025,7,export,24906757.192,India,IND
202507,2025,7,export,331205126.711,Singapore,SGP
202507,2025,7,export,8564101.007,Slovakia,SVK
202507,2025,7,export,9489259.028,Slovenia,SVN
202507,2025,7,export,34753349.153,South Africa,ZAF
202507,2025,7,export,213276299.535,Spain,ESP
202507,2025,7,export,50551655.811,Sweden,SWE
202507,2025,7,export,104301618.623,Switzerland,CHE
202507,2025,7,export,4966337.732,Togo,TGO
202507,2025,7,export,64033.855,Trinidad and Tobago,TTO
202507,2025,7,export,31450117.0,Türkiye,TUR
202507,2025,7,export,2871595.1,Ukraine,UKR
202507,2025,7,export,650873.63,North Macedonia,MKD
202507,2025,7,export,3068254.303,Egypt,EGY
202507,2025,7,export,211990132.248,United Kingdom,GBR
202507,2025,7,export,520420426.0,USA,USA
202507,2025,7,export,35339.0,Uzbekistan,UZB
202508,2025,8,export,50463.0,Azerbaijan,AZE
202508,2025,8,export,1842438.07,Argentina,ARG
202508,2025,8,export,39882539.369,Australia,AUS
202508,2025,8,export,461692.0,Armenia,ARM
202508,2025,8,export,12062.5,Barbados,BRB
202508,2025,8,export,133409662.273,Belgium,BEL
202508,2025,8,export,753.727,Bhutan,BTN
202508,2025,8,export,437205.475,Bosnia Herzegovina,BIH
202508,2025,8,export,12861776.0,Brazil,BRA
202508,2025,8,export,5582.85,Belize,BLZ
202508,2025,8,export,16564826.322,Bulgaria,BGR
202508,2025,8,export,121839222.221,Canada,CAN
202508,2025,8,export,339429.025,Chile,CHL
202508,2025,8,export,18613215.96,Colombia,COL
202508,2025,8,export,18076665.0,Croatia,HRV
202508,2025,8,export,655205.346,Cyprus,CYP
202508,2025,8,export,92583945.0,Czechia,CZE
202508,2025,8,export,53539310.923,Denmark,DNK
202508,2025,8,export,241054.17,El Salvador,SLV
202508,2025,8,export,13586757.12,Estonia,EST
202508,2025,8,export,812021.36,Fiji,FJI
202508,2025,8,export,5971869.667,Finland,FIN
202508,2025,8,export,913366427.863,France,FRA
202508,2025,8,export,777858.652,Georgia,GEO
202508,2025,8,export,392800254.166,Germany,DEU
202508,2025,8,export,9197288.176,Ghana,GHA
202508,2025,8,export,15832286.395,Greece,GRC
202508,2025,8,export,3197019.0,Guatemala,GTM
202508,2025,8,export,3485.331,Guyana,GUY
202508,2025,8,export,230192490.77,"China, Hong Kong SAR",HKG
202508,2025,8,export,18574406.852,Hungary,HUN
202508,2025,8,export,585058.302,Iceland,ISL
202508,2025,8,export,16779390.911,Indonesia,IDN
202508,2025,8,export,16440511.38,Ireland,IRL
202508,2025,8,export,22480000.0,Israel,ISR
202508,2025,8,export,227116397.346,Italy,ITA
202508,2025,8,export,265995606.744,Japan,JPN
202508,2025,8,export,701989674.0,Rep. of Korea,KOR
202508,2025,8,export,631656.0,Kyrgyzstan,KGZ
202508,2025,8,export,9297061.283,Latvia,LVA
202508,2025,8,export,8209396.0,Lithuania,LTU
202508,2025,8,export,6835825.575,Luxembourg,LUX
202508,2025,8,export,136696.325,"China, Macao SAR",MAC
202508,2025,8,export,17587502.517,Malaysia,MYS
202508,2025,8,export,1642236.737,Malta,MLT
202508,2025,8,export,627149.516,Mauritius,MUS
202508,2025,8,export,36649234.0,Mexico,MEX
202508,2025,8,export,333116.0,Rep. of Moldova,MDA
202508,2025,8,export,4320.401,Montenegro,MNE
202508,2025,8,export,1991037.278,Morocco,MAR
202508,2025,8,export,157085191.562,Netherlands,NLD
202508,2025,8,export,7172801.653,New Zealand,NZL
202508,2025,8,export,55680.259,Nigeria,NGA
202508,2025,8,export,2970017.671,Norway,NOR
202508,2025,8,export,1741823.784,Pakistan,PAK
202508,2025,8,export,56681.0,Panama,PAN
202508,2025,8,export,59644.36,Paraguay,PRY
202508,2025,8,export,3680462.0,Philippines,PHL
202508,2025,8,export,251913749.0,Poland,POL
202508,2025,8,export,6629688.595,Portugal,PRT
202508,2025,8,export,7023939.12,Romania,ROU
202508,2025,8,export,3104736.0,Serbia,SRB
202508,2025,8,export,21940034.401,India,IND
202508,2025,8,export,304354643.83,Singapore,SGP
202508,2025,8,export,7437352.891,Slovakia,SVK
202508,2025,8,export,5956518.625,Slovenia,SVN
202508,2025,8,export,52300973.549,South Africa,ZAF
202508,2025,8,export,144013099.574,Spain,ESP
202508,2025,8,export,46865788.133,Sweden,SWE
202508,2025,8,export,73864563.202,Switzerland,CHE
202508,2025,8,export,5750326.066,Togo,TGO
202508,2025,8,export,108525.608,Trinidad and Tobago,TTO
202508,2025,8,export,32111568.0,Türkiye,TUR
202508,2025,8,export,2797637.5,Ukraine,UKR
202508,2025,8,export,409501.666,North Macedonia,MKD
202508,2025,8,export,3273322.167,Egypt,EGY
202508,2025,8,export,182016775.671,United Kingdom,GBR
202508,2025,8,export,491753970.0,USA,USA
202508,2025,8,export,52658.0,Uzbekistan,UZB
202509,2025,9,export,36682.45,Azerbaijan,AZE
202509,2025,9,export,2557926.5,Argentina,ARG
202509,2025,9,export,37567381.795,Australia,AUS
202509,2025,9,export,2289714.96,Armenia,ARM
202509,2025,9,export,29466.0,Barbados,BRB
202509,2025,9,export,156474758.214,Belgium,BEL
202509,2025,9,export,5133.363,Bhutan,BTN
202509,2025,9,export,43289.06,Bolivia (Plurinational State of),BOL
202509,2025,9,export,575776.11,Bosnia Herzegovina,BIH
202509,2025,9,export,14474491.0,Brazil,BRA
202509,2025,9,export,12122382.028,Bulgaria,BGR
202509,2025,9,export,145165049.239,Canada,CAN
202509,2025,9,export,302119.259,Chile,CHL
202509,2025,9,export,27355688.77,Colombia,COL
202509,2025,9,export,25842121.0,Croatia,HRV
202509,2025,9,export,1504670.0,Cyprus,CYP
202509,2025,9,export,120110632.0,Czechia,CZE
202509,2025,9,export,56794864.348,Denmark,DNK
202509,2025,9,export,256783.38,El Salvador,SLV
202509,2025,9,export,15457630.47,Estonia,EST
202509,2025,9,export,265349.461,Fiji,FJI
202509,2025,9,export,11410622.215,Finland,FIN
202509,2025,9,export,1028893841.8,France,FRA
202509,2025,9,export,2000585.619,Georgia,GEO
202509,2025,9,export,469387779.495,Germany,DEU
202509,2025,9,export,329322.487,Ghana,GHA
202509,2025,9,export,22481980.096,Greece,GRC
202509,2025,9,export,3201696.0,Guatemala,GTM
202509,2025,9,export,299509386.095,"China, Hong Kong SAR",HKG
202509,2025,9,export,21067922.969,Hungary,HUN
202509,2025,9,export,748251.507,Iceland,ISL
202509,2025,9,export,13341131.82,Indonesia,IDN
202509,2025,9,export,22505729.643,Ireland,IRL
202509,2025,9,export,17394000.0,Israel,ISR
202509,2025,9,export,292193208.759,Italy,ITA
202509,2025,9,export,263884467.02,Japan,JPN
202509,2025,9,export,936735018.0,Rep. of Korea,KOR
202509,2025,9,export,2077130.0,Kyrgyzstan,KGZ
202509,2025,9,export,11542095.899,Latvia,LVA
202509,2025,9,export,7610725.0,Lithuania,LTU
202509,2025,9,export,8669822.642,Luxembourg,LUX
202509,2025,9,export,2760756.117,"China, Macao SAR",MAC
202509,2025,9,export,16269219.684,Malaysia,MYS
202509,2025,9,export,342008.502,Malta,MLT
202509,2025,9,export,730477.023,Mauritius,MUS
202509,2025,9,export,34926237.0,Mexico,MEX
202509,2025,9,export,322579.0,Rep. of Moldova,MDA
202509,2025,9,export,5422.025,Montenegro,MNE
202509,2025,9,export,2207039.747,Morocco,MAR
202509,2025,9,export,171548990.106,Netherlands,NLD
202509,2025,9,export,4468944.446,New Zealand,NZL
202509,2025,9,export,330148.754,Nigeria,NGA
202509,2025,9,export,5093543.689,Norway,NOR
202509,2025,9,export,3786877.279,Pakistan,PAK
202509,2025,9,export,203744.0,Panama,PAN
202509,2025,9,export,66375.34,Paraguay,PRY
202509,2025,9,export,4482618.0,Philippines,PHL
202509,2025,9,export,273495038.0,Poland,POL
202509,2025,9,export,8065192.881,Portugal,PRT
202509,2025,9,export,9738015.27,Romania,ROU
202509,2025,9,export,3432004.0,Serbia,SRB
202509,2025,9,export,24685077.318,India,IND
202509,2025,9,export,429236504.446,Singapore,SGP
202509,2025,9,export,9781094.463,Slovakia,SVK
202509,2025,9,export,6877107.839,Slovenia,SVN
202509,2025,9,export,39127965.052,South Africa,ZAF
202509,2025,9,export,154333280.087,Spain,ESP
202509,2025,9,export,67721673.396,Sweden,SWE
202509,2025,9,export,76398741.803,Switzerland,CHE
202509,2025,9,export,5762364.232,Togo,TGO
202509,2025,9,export,110057.947,Trinidad and Tobago,TTO
202509,2025,9,export,33245658.0,Türkiye,TUR
202509,2025,9,export,3074647.12,Ukraine,UKR
202509,2025,9,export,470027.321,North Macedonia,MKD
202509,2025,9,export,2730094.912,Egypt,EGY
202509,2025,9,export,191088473.153,United Kingdom,GBR
202509,2025,9,export,495325142.0,USA,USA
202509,2025,9,export,52658.0,Uzbekistan,UZB
202510,2025,10,export,20798.01,Azerbaijan,AZE
202510,2025,10,export,1517544.7,Argentina,ARG
202510,2025,10,export,53656282.289,Australia,AUS
202510,2025,10,export,484270.53,Armenia,ARM
202510,2025,10,export,50683.5,Barbados,BRB
202510,2025,10,export,152859295.509,Belgium,BEL
202510,2025,10,export,349030.171,Bosnia Herzegovina,BIH
202510,2025,10,export,11560678.0,Brazil,BRA
202510,2025,10,export,137309698.937,Canada,CAN
202510,2025,10,export,874345.049,Chile,CHL
202510,2025,10,export,26245347.58,Colombia,COL
202510,2025,10,export,23438332.0,Croatia,HRV
202510,2025,10,export,1547717.772,Cyprus,CYP
202510,2025,10,export,116658973.0,Czechia,CZE
202510,2025,10,export,61282215.77,Denmark,DNK
202510,2025,10,export,247418.53,El Salvador,SLV
202510,2025,10,export,17831890.74,Estonia,EST
202510,2025,10,export,2.328,Faroe Isds,FRO
202510,2025,10,export,318289.88,Fiji,FJI
202510,2025,10,export,7240259.622,Finland,FIN
202510,2025,10,export,1150921524.988,France,FRA
202510,2025,10,export,1997408.895,Georgia,GEO
202510,2025,10,export,471582355.063,Germany,DEU
202510,2025,10,export,43409.861,Ghana,GHA
202510,2025,10,export,26020212.13,Greece,GRC
202510,2025,10,export,4393457.0,Guatemala,GTM
202510,2025,10,export,191.832,Guyana,GUY
202510,2025,10,export,298704138.503,"China, Hong Kong SAR",HKG
202510,2025,10,export,23315691.861,Hungary,HUN
202510,2025,10,export,1044278.013,Iceland,ISL
202510,2025,10,export,15332841.864,Indonesia,IDN
202510,2025,10,export,21341645.305,Ireland,IRL
202510,2025,10,export,15795000.0,Israel,ISR
202510,2025,10,export,340162928.777,Italy,ITA
202510,2025,10,export,254578157.879,Japan,JPN
202510,2025,10,export,753261812.0,Rep. of Korea,KOR
202510,2025,10,export,1248592.0,Kyrgyzstan,KGZ
202510,2025,10,export,11354601.495,Latvia,LVA
202510,2025,10,export,10264972.0,Lithuania,LTU
202510,2025,10,export,10774618.141,Luxembourg,LUX
202510,2025,10,export,2977619.32,"China, Macao SAR",MAC
202510,2025,10,export,18067798.066,Malaysia,MYS
202510,2025,10,export,223627.672,Malta,MLT
202510,2025,10,export,1490773.351,Mauritius,MUS
202510,2025,10,export,38301612.0,Mexico,MEX
202510,2025,10,export,488703.0,Rep. of Moldova,MDA
202510,2025,10,export,2375.33,Montenegro,MNE
202510,2025,10,export,3168780.643,Morocco,MAR
202510,2025,10,export,209673050.574,Netherlands,NLD
202510,2025,10,export,5203541.386,New Zealand,NZL
